Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;5+ млн активных установок;6.4.1
Контактная форма WPForms — конструктор форм для WordPress с возможностью перетаскивания элементов;https://ru.wordpress.org/plugins/wpforms-lite/;Лучший плагин контактных форм для WordPress. Удобный онлайн-конструктор с функцией перетаскивания, позволяющий создавать красивые контактные…;5+ млн активных установок;6.3.2
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки…;5+ млн активных установок;6.4.1
Rank Math SEO;https://ru.wordpress.org/plugins/seo-by-rank-math/;Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих SEO инструментов…;2+ млн активных установок;6.4.1
Advanced Editor Tools;https://ru.wordpress.org/plugins/tinymce-advanced/;Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;6.3.2
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;The #1 Mailchimp plugin for WordPress. Allows you to add a multitude of newsletter sign-up…;2+ млн активных установок;6.4.1
Smush — Optimize, Compress and Lazy Load Images;https://ru.wordpress.org/plugins/wp-smushit/;Compress images & optimize images with built-in lossless compression, lazy load, WebP conversion, and resize…;1+ млн активных установок;6.4.1
Smash Balloon Social Photo Feed — лучший плагин для социальных сетей для WordPress;https://ru.wordpress.org/plugins/instagram-feed/;Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде…;1+ млн активных установок;6.4.1
Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;Redux — это простая, действительно расширяемая и полностью адаптируемая структура опций для тем и плагинов…;1+ млн активных установок;6.4.1
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв,…;900 000+ активных установок;6.4.1
Ninja Forms Contact Form — The Drag and Drop Form Builder for WordPress;https://ru.wordpress.org/plugins/ninja-forms/;Конструктор форм WordPress, удобный для новичков. Тащи-и-бросай поля формы, чтобы создать красивые профессиональные контактные формы…;800 000+ активных установок;6.4.0
Complianz — GDPR/CCPA Cookie Consent;https://ru.wordpress.org/plugins/complianz-gdpr/;Configure your Cookie Banner, Cookie Consent and Cookie Policy with our Wizard and Cookie Scan.…;800 000+ активных установок;6.4.1
The Events Calendar;https://ru.wordpress.org/plugins/the-events-calendar/;Календарь мероприятий — это плагин календаря номер один для WordPress. Легко создавайте и управляйте мероприятиями…;700 000+ активных установок;6.4.1
MailPoet — Newsletters, Email Marketing, and Automation;https://ru.wordpress.org/plugins/mailpoet/;Отправляйте прекрасные рассылки из WordPress. Собирайте подписчиков с помощью форм подписки, автоматизируйте письма для WooCommerce,…;700 000+ активных установок;6.3.2
